Customer_ID,Product_Category,TotalSpent
CUST001,Beauty,150
CUST002,Clothing,1000
CUST003,Electronics,30
CUST004,Clothing,500
CUST005,Beauty,100
CUST006,Beauty,30
CUST007,Clothing,50
CUST008,Electronics,100
CUST009,Electronics,600
CUST010,Clothing,200
CUST011,Clothing,100
CUST012,Beauty,75
CUST013,Electronics,1500
CUST014,Clothing,120
CUST015,Electronics,2000
CUST016,Clothing,1500
CUST017,Clothing,100
CUST018,Electronics,50
CUST019,Clothing,50
CUST020,Clothing,900
CUST021,Beauty,500
CUST022,Clothing,100
CUST023,Clothing,120
CUST024,Clothing,300
CUST025,Beauty,50
CUST026,Electronics,1000
CUST027,Beauty,50
CUST028,Beauty,500
CUST029,Electronics,30
CUST030,Beauty,900
CUST031,Electronics,1200
CUST032,Beauty,90
CUST033,Electronics,100
CUST034,Clothing,150
CUST035,Beauty,900
CUST036,Beauty,900
CUST037,Beauty,75
CUST038,Beauty,200
CUST039,Clothing,120
CUST040,Beauty,50
CUST041,Clothing,50
CUST042,Clothing,900
CUST043,Clothing,300
CUST044,Clothing,25
CUST045,Electronics,30
CUST046,Electronics,1200
CUST047,Beauty,1500
CUST048,Electronics,900
CUST049,Electronics,1000
CUST050,Beauty,75
CUST051,Beauty,75
CUST052,Beauty,300
CUST053,Electronics,100
CUST054,Electronics,1500
CUST055,Beauty,120
CUST056,Clothing,900
CUST057,Beauty,30
CUST058,Clothing,1200
CUST059,Clothing,50
CUST060,Beauty,150
CUST061,Beauty,200
CUST062,Beauty,100
CUST063,Electronics,50
CUST064,Clothing,100
CUST065,Electronics,2000
CUST066,Electronics,30
CUST067,Beauty,1200
CUST068,Electronics,300
CUST069,Beauty,75
CUST070,Clothing,300
CUST071,Beauty,100
CUST072,Electronics,2000
CUST073,Electronics,90
CUST074,Beauty,2000
CUST075,Beauty,200
CUST076,Electronics,100
CUST077,Clothing,100
CUST078,Clothing,1500
CUST079,Beauty,300
CUST080,Clothing,60
CUST081,Electronics,50
CUST082,Beauty,200
CUST083,Electronics,100
CUST084,Electronics,90
CUST085,Clothing,150
CUST086,Beauty,90
CUST087,Beauty,100
CUST088,Clothing,500
CUST089,Electronics,2000
CUST090,Electronics,30
CUST091,Electronics,500
CUST092,Electronics,120
CUST093,Beauty,2000
CUST094,Beauty,1000
CUST095,Clothing,60
CUST096,Clothing,600
CUST097,Beauty,1000
CUST098,Beauty,100
CUST099,Electronics,1200
CUST100,Electronics,30
CUST1000,Electronics,120
CUST101,Clothing,600
CUST102,Beauty,50
CUST103,Clothing,25
CUST104,Beauty,1000
CUST105,Electronics,500
CUST106,Clothing,50
CUST107,Clothing,1200
CUST108,Beauty,75
CUST109,Electronics,2000
CUST110,Clothing,900
CUST111,Electronics,1500
CUST112,Clothing,1500
CUST113,Electronics,50
CUST114,Beauty,100
CUST115,Clothing,1500
CUST116,Clothing,30
CUST117,Electronics,1000
CUST118,Electronics,2000
CUST119,Clothing,150
CUST120,Beauty,50
CUST121,Electronics,200
CUST122,Electronics,120
CUST123,Electronics,60
CUST124,Clothing,2000
CUST125,Clothing,100
CUST126,Clothing,90
CUST127,Clothing,50
CUST128,Beauty,500
CUST129,Beauty,600
CUST130,Clothing,500
CUST131,Beauty,600
CUST132,Electronics,200
CUST133,Electronics,900
CUST134,Electronics,50
CUST135,Clothing,50
CUST136,Electronics,600
CUST137,Beauty,1000
CUST138,Clothing,200
CUST139,Beauty,2000
CUST140,Electronics,30
CUST141,Electronics,50
CUST142,Electronics,1200
CUST143,Clothing,50
CUST144,Beauty,1500
CUST145,Clothing,75
CUST146,Clothing,200
CUST147,Electronics,300
CUST148,Clothing,60
CUST149,Clothing,75
CUST150,Electronics,120
CUST151,Clothing,50
CUST152,Electronics,2000
CUST153,Electronics,1000
CUST154,Electronics,900
CUST155,Electronics,2000
CUST156,Clothing,100
CUST157,Electronics,2000
CUST158,Electronics,600
CUST159,Clothing,200
CUST160,Clothing,100
CUST161,Beauty,1000
CUST162,Clothing,60
CUST163,Clothing,150
CUST164,Beauty,1500
CUST165,Clothing,1200
CUST166,Clothing,2000
CUST167,Clothing,150
CUST168,Clothing,300
CUST169,Beauty,1500
CUST170,Clothing,50
CUST171,Clothing,900
CUST172,Beauty,50
CUST173,Electronics,120
CUST174,Beauty,300
CUST175,Electronics,100
CUST176,Beauty,100
CUST177,Beauty,100
CUST178,Clothing,60
CUST179,Electronics,300
CUST180,Clothing,900
CUST181,Electronics,1200
CUST182,Beauty,120
CUST183,Beauty,900
CUST184,Electronics,200
CUST185,Clothing,25
CUST186,Clothing,200
CUST187,Clothing,100
CUST188,Clothing,75
CUST189,Beauty,50
CUST190,Beauty,90
CUST191,Beauty,25
CUST192,Beauty,100
CUST193,Beauty,1500
CUST194,Clothing,200
CUST195,Clothing,30
CUST196,Clothing,900
CUST197,Clothing,200
CUST198,Beauty,900
CUST199,Beauty,1500
CUST200,Beauty,150
CUST201,Electronics,25
CUST202,Clothing,1200
CUST203,Clothing,1000
CUST204,Beauty,25
CUST205,Clothing,25
CUST206,Clothing,25
CUST207,Beauty,50
CUST208,Electronics,200
CUST209,Electronics,200
CUST210,Electronics,200
CUST211,Beauty,1500
CUST212,Clothing,1500
CUST213,Beauty,1500
CUST214,Beauty,60
CUST215,Clothing,1500
CUST216,Electronics,100
CUST217,Electronics,200
CUST218,Beauty,90
CUST219,Electronics,90
CUST220,Beauty,500
CUST221,Beauty,600
CUST222,Clothing,120
CUST223,Clothing,25
CUST224,Clothing,50
CUST225,Beauty,100
CUST226,Clothing,50
CUST227,Electronics,100
CUST228,Electronics,60
CUST229,Beauty,90
CUST230,Beauty,25
CUST231,Clothing,150
CUST232,Beauty,25
CUST233,Beauty,600
CUST234,Electronics,50
CUST235,Electronics,1000
CUST236,Clothing,25
CUST237,Beauty,1000
CUST238,Beauty,500
CUST239,Electronics,1500
CUST240,Beauty,300
CUST241,Electronics,75
CUST242,Clothing,25
CUST243,Electronics,900
CUST244,Beauty,100
CUST245,Clothing,90
CUST246,Electronics,50
CUST247,Electronics,60
CUST248,Clothing,900
CUST249,Clothing,50
CUST250,Electronics,50
CUST251,Beauty,200
CUST252,Electronics,300
CUST253,Clothing,2000
CUST254,Electronics,500
CUST255,Clothing,30
CUST256,Clothing,1000
CUST257,Beauty,2000
CUST258,Clothing,50
CUST259,Clothing,200
CUST260,Beauty,60
CUST261,Clothing,50
CUST262,Beauty,120
CUST263,Beauty,60
CUST264,Clothing,900
CUST265,Clothing,900
CUST266,Electronics,60
CUST267,Beauty,90
CUST268,Electronics,30
CUST269,Clothing,2000
CUST270,Electronics,300
CUST271,Beauty,120
CUST272,Electronics,100
CUST273,Beauty,50
CUST274,Clothing,1000
CUST275,Clothing,1000
CUST276,Beauty,100
CUST277,Clothing,100
CUST278,Clothing,100
CUST279,Clothing,500
CUST280,Clothing,1500
CUST281,Beauty,2000
CUST282,Electronics,200
CUST283,Electronics,500
CUST284,Clothing,200
CUST285,Electronics,25
CUST286,Electronics,50
CUST287,Clothing,100
CUST288,Clothing,120
